DH	INJV	Xt	Mt	XMt	NDH
-12.62798	10	0	0.25	0.28137	-126.27978
-15.92392	10	0.06985	0.24825	0.5647	-159.23921
-15.57182	10	0.13921	0.24652	0.85001	-155.71822
-14.88476	10	0.20808	0.2448	1.13727	-148.84764
-14.34338	10	0.27646	0.24309	1.4265	-143.43377
-13.5273	10	0.34434	0.24139	1.7177	-135.273
-13.39035	10	0.41174	0.2397	2.01086	-133.90349
-12.5334	10	0.47864	0.23803	2.30599	-125.33402
-12.36883	10	0.54505	0.23636	2.60308	-123.68829
-11.85286	10	0.61097	0.23471	2.90214	-118.52859
-11.95739	10	0.6764	0.23307	3.20316	-119.5739
-11.32098	10	0.74134	0.23144	3.50615	-113.20976
-10.72432	10	0.80578	0.22982	3.81111	-107.24315
-10.66658	10	0.86974	0.22821	4.11803	-106.66583
-10.23449	10	0.9332	0.22661	4.42691	-102.34485
-10.2741	10	0.99617	0.22503	4.73776	-102.74101
-9.97766	10	1.05865	0.22345	5.05058	-99.77662
-9.50059	10	1.12064	0.22188	5.36536	-95.00589
-9.34681	10	1.18214	0.22033	5.68211	-93.46814
	--	1.24315	0.21878	--	
