DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-401.78801	10	0	0.25	0.28137	-3891.6003	--	
-354.71336	10	0.06985	0.24825	0.5647	-3387.89435	--	
-292.36728	10	0.13921	0.24652	0.85001	-2767.95459	0.60009	-2768.55468
-236.87407	10	0.20808	0.2448	1.13727	-2219.89304	-0.94328	-2218.94976
-190.86792	10	0.27646	0.24309	1.4265	-1765.2454	-0.20955	-1765.03586
-154.09123	10	0.34434	0.24139	1.7177	-1405.63929	-0.64157	-1404.99772
-125.78774	10	0.41174	0.2397	2.01086	-1123.97387	1.62082	-1125.5947
-103.69188	10	0.47864	0.23803	2.30599	-911.58479	-1.08773	-910.49706
-86.67545	10	0.54505	0.23636	2.60308	-743.06621	1.65368	-744.71989
-73.51894	10	0.61097	0.23471	2.90214	-616.6608	-0.54671	-616.11409
-63.35659	10	0.6764	0.23307	3.20316	-513.99204	1.40302	-515.39506
-54.65134	10	0.74134	0.23144	3.50615	-433.30368	2.3553	-435.65898
-47.92786	10	0.80578	0.22982	3.81111	-372.03541	-0.21079	-371.82462
-43.08147	10	0.86974	0.22821	4.11803	-324.14887	-3.99431	-320.15456
-38.37024	10	0.9332	0.22661	4.42691	-281.35759	-3.47093	-277.88666
-34.3028	10	0.99617	0.22503	4.73776	-240.28696	2.67672	-242.96368
-31.22739	10	1.05865	0.22345	5.05058	-212.49727	1.3418	-213.83907
-28.62724	10	1.12064	0.22188	5.36536	-191.26648	-1.92794	-189.33854
-26.2182	10	1.18214	0.22033	5.68211	-168.71387	-0.1525	-168.56137
	--	1.24315	0.21878	--			
