DH	INJV	Xt	Mt	XMt	NDH
-14.63749	10	0	0.25	0.28137	-146.3749
-16.4015	10	0.06985	0.24825	0.5647	-164.01501
-15.57267	10	0.13921	0.24652	0.85001	-155.72668
-14.95166	10	0.20808	0.2448	1.13727	-149.5166
-14.36862	10	0.27646	0.24309	1.4265	-143.68621
-13.76718	10	0.34434	0.24139	1.7177	-137.67179
-13.21886	10	0.41174	0.2397	2.01086	-132.18855
-12.6514	10	0.47864	0.23803	2.30599	-126.51401
-12.18157	10	0.54505	0.23636	2.60308	-121.81568
-12.15154	10	0.61097	0.23471	2.90214	-121.51542
-11.6721	10	0.6764	0.23307	3.20316	-116.72101
-11.43374	10	0.74134	0.23144	3.50615	-114.33736
-10.76349	10	0.80578	0.22982	3.81111	-107.63491
-10.52767	10	0.86974	0.22821	4.11803	-105.27674
-10.34113	10	0.9332	0.22661	4.42691	-103.41132
-10.2515	10	0.99617	0.22503	4.73776	-102.51501
-9.80339	10	1.05865	0.22345	5.05058	-98.03388
-9.28848	10	1.12064	0.22188	5.36536	-92.88476
-9.67512	10	1.18214	0.22033	5.68211	-96.75118
-8.93281	10	1.24315	0.21878	6.00082	-89.32813
	--	1.30366	0.21725	--	
