DH	INJV	Xt	Mt	XMt	NDH
-0.39639	10	0	0.04	0.01759	-396.38852
-0.56176	10	6.98511E-4	0.03972	0.03529	-561.76026
-0.49993	10	0.00139	0.03944	0.05313	-499.93358
-0.1921	10	0.00208	0.03917	0.07108	-192.09695
-0.44298	10	0.00276	0.03889	0.08916	-442.97836
-0.31247	10	0.00344	0.03862	0.10736	-312.47396
-0.54322	10	0.00412	0.03835	0.12568	-543.21953
-0.17941	10	0.00479	0.03808	0.14412	-179.40522
-0.45805	10	0.00545	0.03782	0.16269	-458.04618
-0.09233	10	0.00611	0.03755	0.18138	-92.334
	--	0.00676	0.03729	--	
