DH	INJV	Xt	Mt	XMt	NDH
-0.21651	10	0	0.08	0.00879	-216.51331
-0.60552	10	6.98511E-4	0.07944	0.01765	-605.52216
-0.4733	10	0.00139	0.07889	0.02656	-473.30232
-0.57249	10	0.00208	0.07834	0.03554	-572.49334
-0.5512	10	0.00276	0.07779	0.04458	-551.19692
-0.953	10	0.00344	0.07724	0.05368	-953.00104
-0.23359	10	0.00412	0.0767	0.06284	-233.59102
-0.60424	10	0.00479	0.07617	0.07206	-604.24251
-0.24681	10	0.00545	0.07564	0.08135	-246.807
-0.66266	10	0.00611	0.07511	0.09069	-662.662
	--	0.00676	0.07458	--	
