DH	INJV	Xt	Mt	XMt	NDH
-0.66153	10	0	1E-3	4.9099	-94.77487
-0.39047	10	0.00488	9.93015E-4	9.8541	-55.94135
-0.12813	10	0.00972	9.86078E-4	14.83259	-18.35677
-0.24209	10	0.01452	9.7919E-4	19.84538	-34.68316
-0.31929	10	0.0193	9.72349E-4	24.89247	-45.74293
-0.36592	10	0.02404	9.65555E-4	29.97385	-52.42341
-0.19398	10	0.02874	9.58808E-4	35.08953	-27.7904
-0.47314	10	0.03341	9.52107E-4	40.23951	-67.78513
-0.40045	10	0.03804	9.45452E-4	45.42378	-57.37069
-0.26478	10	0.04265	9.38842E-4	50.64235	-37.93367
	--	0.04721	9.32277E-4	--	
