DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-183.43618	10	0	0.03154	0.39431	-10375.34954	30.26948	-10405.61902
-163.56047	10	0.01235	0.03132	0.79137	-9251.15766	-38.68029	-9212.47737
-84.67883	10	0.02461	0.0311	1.19119	-4789.5264	11.86732	-4801.39371
-21.08362	10	0.03679	0.03088	1.59377	-1192.51234	29.44063	-1221.95297
-8.11039	10	0.04888	0.03067	1.99909	-458.73226	-48.69105	-410.04121
-4.7316	10	0.06088	0.03045	2.40718	-267.62442	-72.30425	-195.32017
-2.88088	10	0.07279	0.03024	2.81801	-162.94547	-50.26456	-112.68091
-2.73949	10	0.08462	0.03003	3.2316	-154.94854	-82.11111	-72.83743
-2.19368	10	0.09636	0.02982	3.64795	-124.07699	-73.36067	-50.71632
-1.59119	10	0.10802	0.02961	4.06705	-89.9995	-52.80087	-37.19863
	--	0.11959	0.0294	--			
