DH	INJV	Xt	Mt	XMt	NDH
-63.18072	10	0	0.00898	0.56399	-8775.10002
-36.65678	10	0.00503	0.00892	1.13192	-5091.21998
-11.82289	10	0.01002	0.00885	1.7038	-1642.06867
-4.68322	10	0.01498	0.00879	2.27961	-650.44655
-2.66089	10	0.0199	0.00873	2.85936	-369.56832
-1.56359	10	0.02479	0.00867	3.44305	-217.16516
-0.99784	10	0.02964	0.00861	4.03068	-138.58838
-1.15045	10	0.03446	0.00855	4.62225	-159.78421
-0.80748	10	0.03924	0.00849	5.21776	-112.15036
-0.81648	10	0.04399	0.00843	5.81721	-113.39997
	--	0.0487	0.00837	--	
