DH	INJV	Xt	Mt	XMt	NDH
-0.66153	10	0	1E-3	5.06465	-91.87897
-0.39047	10	0.00503	9.93015E-4	10.16468	-54.23203
-0.12813	10	0.01002	9.86078E-4	15.30009	-17.79587
-0.24209	10	0.01498	9.7919E-4	20.47088	-33.6234
-0.31929	10	0.0199	9.72349E-4	25.67704	-44.34523
-0.36592	10	0.02479	9.65555E-4	30.91859	-50.82158
-0.19398	10	0.02964	9.58808E-4	36.1955	-26.94125
-0.47314	10	0.03446	9.52107E-4	41.5078	-65.71392
-0.40045	10	0.03924	9.45452E-4	46.85548	-55.6177
-0.26478	10	0.04399	9.38842E-4	52.23853	-36.77458
	--	0.0487	9.32277E-4	--	
