time	
1978	9.62316
1980	9.62364
1982	9.62325
1984	9.6218
1986	9.61982
1988	9.61655
1990	9.61445
1992	9.61263
1994	9.61189
1996	9.61183
1998	9.61118
2000	9.6105
2002	9.61022
2004	9.60987
2006	9.61191
2008	9.61674
2010	9.6186
2012	9.61916
2014	9.62
2016	9.62077
2018	9.62212
2020	9.62264
2022	9.62191
2024	9.62065
2026	9.62001
2028	9.61947
2030	9.61934
2032	9.61979
2034	9.62062
2036	9.62001
2038	9.6202
2040	9.62133
2042	9.62107
2044	9.6198
2046	9.61937
2048	9.62009
2050	9.62069
2052	9.62044
2054	9.61953
2056	9.61839
2058	9.61902
2060	9.62023
2062	9.61967
2064	9.61907
2066	9.61938
2068	9.6186
2070	9.61931
2072	9.61984
2074	9.62016
2076	9.62041
2078	9.61945
2080	9.61927
2082	9.62016
2084	9.62083
2086	9.62131
2088	9.62075
2090	9.62039
2092	9.61965
2094	9.62028
2096	9.6205
2098	9.61957
2100	9.61983
2102	9.61969
2104	9.61942
2106	9.61983
2108	9.62041
2110	9.62061
2112	9.62021
2114	9.61994
2116	9.6197
2118	9.62007
2120	9.62013
2122	9.62003
2124	9.62125
2126	9.62148
2128	9.62039
2130	9.62018
2132	9.61957
2134	9.61942
2136	9.62015
2138	9.62016
2140	9.61993
2142	9.61938
2144	9.61864
2146	9.61834
2148	9.61898
2150	9.61923
2152	9.61936
2154	9.61998
2156	9.62006
2158	9.61926
2160	9.61868
2162	9.61896
2164	9.61949
2166	9.61897
2168	9.62018
2170	9.62005
2172	9.61968
2174	9.61828
2176	9.6179
2178	9.61881
2180	9.6197
2182	9.61944
2184	9.61958
2186	9.62044
2188	9.62056
2190	9.62057
2192	9.62015
2194	9.62033
2196	9.62018
2198	9.6203
2200	9.62005
2202	9.62029
2204	9.61989
2206	9.61914
2208	9.61973
2210	9.62028
2212	9.6199
2214	9.61988
2216	9.61943
2218	9.6192
2220	9.61906
2222	9.61859
2224	9.61834
2226	9.61654
2228	9.61318
2230	9.6105
2232	9.60908
2234	9.60886
2236	9.60874
2238	9.60851
2240	9.60828
2242	9.60871
2244	9.60897
2246	9.6113
2248	9.61431
2250	9.61638
2252	9.61643
2254	9.6157
2256	9.61626
2258	9.61631
2260	9.61695
2262	9.61704
2264	9.61678
2266	9.61552
2268	9.61681
2270	9.61763
2272	9.61771
2274	9.6185
2276	9.61829
2278	9.61732
2280	9.61809
2282	9.61805
2284	9.61695
2286	9.61675
2288	9.61642
2290	9.61709
2292	9.61746
2294	9.61707
2296	9.61687
2298	9.61664
2300	9.61741
2302	9.61661
2304	9.61607
2306	9.61613
2308	9.61666
2310	9.61753
2312	9.61834
2314	9.61821
2316	9.61809
2318	9.61799
2320	9.61832
2322	9.61867
2324	9.61833
2326	9.61798
2328	9.6174
2330	9.61574
2332	9.61618
2334	9.61645
2336	9.61618
2338	9.61604
2340	9.61691
2342	9.61724
2344	9.61748
2346	9.6178
2348	9.61806
2350	9.61861
2352	9.61842
2354	9.61823
2356	9.61744
2358	9.61809
2360	9.61833
2362	9.61742
2364	9.61821
2366	9.61829
2368	9.61815
2370	9.61781
2372	9.61703
2374	9.61669
2376	9.61675
2378	9.61782
2380	9.61824
2382	9.61876
2384	9.6183
2386	9.61774
2388	9.61675
2390	9.61786
2392	9.61826
2394	9.61743
2396	9.6174
2398	9.61779
2400	9.61719
2402	9.61713
2404	9.61762
2406	9.61793
2408	9.61702
2410	9.61694
2412	9.61753
2414	9.61772
2416	9.61789
2418	9.61858
2420	9.61862
2422	9.61839
2424	9.61729
2426	9.61566
2428	9.61487
2430	9.61596
2432	9.61615
2434	9.61608
2436	9.61581
2438	9.61617
2440	9.61645
2442	9.61645
2444	9.61669
2446	9.61718
2448	9.61869
2450	9.61905
2452	9.61856
2454	9.61753
2456	9.61699
2458	9.61714
2460	9.61679
2462	9.61621
2464	9.61576
2466	9.61381
2468	9.61069
2470	9.60863
2472	9.60832
2474	9.60691
2476	9.60609
2478	9.6054
2480	9.60474
2482	9.60487
2484	9.60456
2486	9.60627
2488	9.60959
2490	9.61225
2492	9.61347
2494	9.61477
2496	9.61604
2498	9.61644
2500	9.61559
2502	9.61573
2504	9.61512
2506	9.61486
2508	9.61586
2510	9.61576
2512	9.61523
2514	9.61521
2516	9.6146
2518	9.6144
2520	9.61518
2522	9.61438
2524	9.61481
2526	9.616
2528	9.61657
2530	9.61666
2532	9.61776
2534	9.61712
2536	9.61605
2538	9.61636
2540	9.61566
2542	9.61521
2544	9.61648
2546	9.61736
2548	9.61808
2550	9.61784
2552	9.61807
2554	9.61784
2556	9.61711
2558	9.61732
2560	9.61757
2562	9.61745
2564	9.61779
2566	9.61747
2568	9.61693
2570	9.61648
2572	9.61657
2574	9.61679
2576	9.61701
2578	9.61715
2580	9.61641
2582	9.6163
2584	9.61589
2586	9.61569
2588	9.61656
2590	9.61679
2592	9.61649
2594	9.61704
2596	9.61735
2598	9.61619
2600	9.61652
2602	9.61788
2604	9.61688
2606	9.61668
2608	9.61551
2610	9.61485
2612	9.61602
2614	9.61566
2616	9.61558
2618	9.61516
2620	9.61521
2622	9.61568
2624	9.61628
2626	9.61683
2628	9.617
2630	9.61685
2632	9.61688
2634	9.61604
2636	9.61602
2638	9.61656
2640	9.61692
2642	9.61709
2644	9.61786
2646	9.61708
2648	9.61698
2650	9.61683
2652	9.61662
2654	9.61631
2656	9.6165
2658	9.61603
2660	9.61697
2662	9.61782
2664	9.61784
2666	9.61645
2668	9.61556
2670	9.61585
2672	9.61627
2674	9.61562
2676	9.61553
2678	9.61545
2680	9.61499
2682	9.61475
2684	9.61503
2686	9.61531
2688	9.6167
2690	9.61705
2692	9.61687
2694	9.61596
2696	9.61489
2698	9.61476
2700	9.61548
