DH	INJV	Xt	Mt	XMt	NDH
-183.43618	10	0	0.03154	0.39788	-10282.29707
-163.56047	10	0.01246	0.03132	0.79854	-9168.18764
-84.67883	10	0.02484	0.0311	1.20197	-4746.571
-21.08362	10	0.03712	0.03088	1.60819	-1181.81716
-8.11039	10	0.04932	0.03067	2.01718	-454.61807
-4.7316	10	0.06143	0.03045	2.42896	-265.2242
-2.88088	10	0.07345	0.03024	2.84351	-161.48408
-2.73949	10	0.08539	0.03003	3.26085	-153.55887
-2.19368	10	0.09724	0.02982	3.68096	-122.96419
-1.59119	10	0.109	0.02961	4.10385	-89.19233
	--	0.12067	0.0294	--	
