DH	INJV	Xt	Mt	XMt	NDH
-63.86551	10	0	0.00898	0.56399	-8870.20965
-38.89405	10	0.00503	0.00892	1.13192	-5401.95157
-12.65679	10	0.01002	0.00885	1.7038	-1757.88689
-4.88188	10	0.01498	0.00879	2.27961	-678.03859
-2.733	10	0.0199	0.00873	2.85936	-379.58288
-1.88082	10	0.02479	0.00867	3.44305	-261.22441
-0.99152	10	0.02964	0.00861	4.03068	-137.71153
-0.86336	10	0.03446	0.00855	4.62225	-119.91134
-0.93302	10	0.03924	0.00849	5.21776	-129.58615
-0.5487	10	0.04399	0.00843	5.81721	-76.20851
	--	0.0487	0.00837	--	
